#{"t_start": 1614821819.043252, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.795707
11.0,11,0.797552
12.0,12,0.798743
21.0,21,0.801207
43.0,43,0.805942
30.0,30,0.80877
34.0,34,0.812566
16.0,16,0.814227
12.0,12,0.815389
19.0,19,0.817208
12.0,12,0.818526
11.0,11,0.81995
18.0,18,0.821615
12.0,12,0.822853
25.0,25,0.825306
39.0,39,0.831389
87.0,87,0.840011
17.0,17,0.841745
15.0,15,0.843136
53.0,53,0.848324
24.0,24,0.850528
12.0,12,0.851798
26.0,26,0.854124
18.0,18,0.855984
33.0,33,0.858855
12.0,12,0.862341
17.0,17,0.864683
23.0,23,0.866944
29.0,29,0.869823
21.0,21,0.87219
53.0,53,0.877397
12.0,12,0.879073
36.0,36,0.88241
18.0,18,0.884169
21.0,21,0.886222
15.0,15,0.887623
69.0,69,0.895756
14.0,14,0.89801
24.0,24,0.900343
11.0,11,0.901786
31.0,31,0.905146
11.0,11,0.906352
22.0,22,0.908372
14.0,14,0.909686
16.0,16,0.9114
41.0,41,0.915415
15.0,15,0.916825
50.0,50,0.921247
10.0,10,0.922246
41.0,41,0.92828
21.0,21,0.931067
34.0,34,0.934446
17.0,17,0.936143
16.0,16,0.938285
34.0,34,0.941685
11.0,11,0.942769
14.0,14,0.944297
21.0,21,0.946746
22.0,22,0.94873
23.0,23,0.950755
13.0,13,0.951983
17.0,17,0.9541
28.0,28,0.956571
45.0,45,0.96383
36.0,36,0.968465
37.0,37,0.972301
32.0,32,0.975175
71.0,71,0.982668
17.0,17,0.984286
29.0,29,0.987209
11.0,11,0.988312
11.0,11,0.989369
19.0,19,0.991088
41.0,41,0.99786
18.0,18,0.999568
35.0,35,1.003372
13.0,13,1.005063
16.0,16,1.006837
17.0,17,1.008513
17.0,17,1.010115
17.0,17,1.012776
27.0,27,1.015404
18.0,18,1.018349
37.0,37,1.023153
11.0,11,1.024285
87.0,87,1.035596
14.0,14,1.038329
11.0,11,1.040073
14.0,14,1.04157
23.0,23,1.044278
70.0,70,1.050605
19.0,19,1.052447
14.0,14,1.053969
9.0,9,1.054977
13.0,13,1.056175
14.0,14,1.057451
12.0,12,1.058582
14.0,14,1.061784
88.0,88,1.071391
14.0,14,1.072927
14.0,14,1.0743
24.0,24,1.076566
29.0,29,1.079679
19.0,19,1.081535
23.0,23,1.083582
21.0,21,1.085641
12.0,12,1.087165
22.0,22,1.089403
35.0,35,1.092458
57.0,57,1.101721
26.0,26,1.10469
16.0,16,1.106229
21.0,21,1.108187
19.0,19,1.110005
40.0,40,1.114113
15.0,15,1.115536
19.0,19,1.117222
33.0,33,1.120203
12.0,12,1.121519
12.0,12,1.122811
41.0,41,1.128312
13.0,13,1.130495
12.0,12,1.131809
13.0,13,1.133067
17.0,17,1.13532
11.0,11,1.136942
25.0,25,1.139966
28.0,28,1.142555
13.0,13,1.14383
15.0,15,1.145984
31.0,31,1.148977
35.0,35,1.152064
15.0,15,1.153864
29.0,29,1.156655
12.0,12,1.157914
14.0,14,1.159227
13.0,13,1.162941
33.0,33,1.166881
9.0,9,1.168204
25.0,25,1.170738
29.0,29,1.1736
19.0,19,1.175477
27.0,27,1.179814
16.0,16,1.181699
32.0,32,1.184867
20.0,20,1.186928
